epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
7,100,52.68,60.02,92.85,60.84,94.82,7.12,56.11,2.03,52.1
13,200,60.96,68.7,94.62,70.63,96.83,20.98,65.05,3.36,51.7
19,300,68.69,76.34,95.61,78.98,97.43,39.04,69.61,5.24,37.39
25,400,71.01,78.38,95.94,81.09,97.6,44.16,71.25,6.08,31.62
32,500,72.2,79.59,96.13,82.09,97.74,46.4,72.47,5.6,31.03
38,600,74.11,81.42,96.35,83.73,97.79,50.97,73.57,6.43,25.5
44,700,74.85,82.07,96.45,84.32,97.83,52.55,74.16,6.49,23.91
50,800,74.95,82.16,96.47,84.39,97.86,52.61,74.37,6.17,24.56
