Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.505360	0.014059
64	2	0.845921	0.001002
96	3	0.699069	0.002657
128	4	0.732550	0.001322
160	5	0.642320	0.003311
192	6	0.276294	0.011937
224	7	0.048793	0.076190
256	8	0.409190	0.006015
288	9	0.185234	0.010100
320	10	0.018656	0.025615
352	11	0.102994	0.005323
