epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,65.15,72.42,95.39,75.1,97.45,28.99,69.0,3.25,47.11
7,100,72.16,77.71,95.63,82.52,96.53,51.9,68.04,6.2,15.94
10,150,83.57,91.63,97.32,90.7,97.86,72.9,79.94,6.59,4.86
13,200,88.08,92.99,98.16,93.46,98.41,78.29,87.54,1.63,6.91
16,250,91.7,95.09,98.75,95.56,98.85,84.08,92.15,0.42,4.95
19,300,87.96,91.44,98.37,93.32,98.72,75.45,89.72,0.05,11.66
22,350,89.87,93.5,98.59,94.49,98.87,80.05,90.71,0.35,9.05
25,400,90.58,93.95,98.67,94.91,98.88,81.41,91.45,0.54,7.18
