epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,66.22,73.56,95.54,76.09,97.62,30.51,70.53,5.66,41.94
7,100,73.3,79.19,96.58,82.49,97.84,43.35,78.71,1.91,30.69
10,150,80.61,90.06,96.46,88.82,96.98,70.56,74.29,3.8,12.75
13,200,81.72,87.15,97.69,89.24,98.72,63.48,82.97,1.19,24.7
16,250,88.77,93.73,98.4,93.86,98.82,79.37,88.13,3.67,5.31
19,300,89.96,94.37,98.5,94.58,98.75,81.79,89.35,1.57,6.19
22,350,88.91,93.05,98.42,93.94,98.78,79.15,88.8,0.53,10.7
25,400,90.54,94.29,98.6,94.91,98.8,82.37,90.47,0.82,6.44
