class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.848663	0.881406	0.918137						
background	0.989262	0.993621	0.994602	0.987853	0.919272	0.954327	0.957025	1280	40
abuth	0.918422	0.981468	0.957476						
cotton	0.850134	0.887893	0.918997						
background	0.989570	0.995450	0.994758	0.988459	0.921884	0.950308	0.958422	1312	41
abuth	0.926790	0.974093	0.962004						
cotton	0.849292	0.881380	0.918505						
background	0.989410	0.995450	0.994677	0.988712	0.925489	0.954245	0.960483	1344	42
abuth	0.929649	0.968718	0.963542						
cotton	0.857407	0.898567	0.923230						
background	0.989406	0.994839	0.994675	0.988662	0.925796	0.956692	0.960686	1376	43
abuth	0.927844	0.971340	0.962572						
cotton	0.860139	0.903898	0.924812						
background	0.988854	0.995377	0.994396	0.988067	0.920624	0.950122	0.957701	1408	44
abuth	0.926931	0.967851	0.962080						
cotton	0.846086	0.887140	0.916627						
background	0.988935	0.995281	0.994437	0.988020	0.919323	0.948331	0.956933	1440	45
abuth	0.927010	0.973271	0.962123						
cotton	0.842025	0.876441	0.914238						
background	0.989081	0.995490	0.994510	0.988375	0.922624	0.950265	0.958834	1472	46
abuth	0.929013	0.971828	0.963200						
cotton	0.849780	0.883479	0.918790						
background	0.989053	0.995205	0.994496	0.988202	0.921169	0.949592	0.958015	1504	47
abuth	0.926947	0.974851	0.962089						
cotton	0.847506	0.878719	0.917460						
background	0.989080	0.995721	0.994510	0.988145	0.920216	0.947635	0.957463	1536	48
abuth	0.926460	0.970357	0.961827						
cotton	0.845109	0.876827	0.916053						
background	0.989200	0.995171	0.994571	0.988073	0.919674	0.949117	0.957179	1568	49
abuth	0.924099	0.974066	0.960552						
cotton	0.845723	0.878115	0.916414						
background	0.989284	0.994993	0.994613	0.988035	0.919268	0.949821	0.956957	1600	50
abuth	0.922912	0.974388	0.959911						
cotton	0.845608	0.880082	0.916346						
