class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.987907	0.994039	0.993917	0.968392	0.568908	0.667922	0.681559	576	3
abuth	0.836283	0.961411	0.910843						
canger	0.625162	0.814603	0.769354						
cotton	0.445104	0.650918	0.616016						
longkui	0.741434	0.927545	0.851521						
machixian	0.293457	0.344348	0.453757						
niujincao	0.086993	0.088511	0.160062						
tianxuanhua	0.534926	0.562005	0.697006						
background	0.988333	0.995805	0.994132	0.969354	0.612751	0.714511	0.737824	608	3
abuth	0.834746	0.935020	0.909931						
canger	0.577326	0.633706	0.732031						
cotton	0.488364	0.848990	0.656243						
longkui	0.720147	0.762971	0.837308						
machixian	0.257398	0.280255	0.409414						
niujincao	0.486130	0.670070	0.654222						
tianxuanhua	0.549563	0.589271	0.709313						
background	0.986140	0.996526	0.993022	0.971733	0.655654	0.740408	0.771679	640	3
abuth	0.832893	0.910742	0.908829						
canger	0.662831	0.821714	0.797232						
cotton	0.545829	0.755631	0.706195						
longkui	0.790372	0.894533	0.882914						
machixian	0.276367	0.302522	0.433052						
niujincao	0.482936	0.534859	0.651324						
tianxuanhua	0.667866	0.706740	0.800863						
background	0.987664	0.996475	0.993794	0.971721	0.633780	0.721835	0.751472	672	4
abuth	0.878440	0.947852	0.935287						
canger	0.663142	0.788071	0.797457						
cotton	0.332166	0.388215	0.498686						
longkui	0.778891	0.857449	0.875704						
machixian	0.442019	0.755658	0.613056						
niujincao	0.350972	0.382201	0.519584						
tianxuanhua	0.636946	0.658755	0.778213						
background	0.988731	0.995311	0.994333	0.972068	0.601241	0.716617	0.715975	704	4
abuth	0.882019	0.963534	0.937312						
canger	0.654625	0.901548	0.791267						
cotton	0.500241	0.668633	0.666880						
longkui	0.752175	0.907009	0.858562						
machixian	0.207055	0.222472	0.343075						
niujincao	0.263567	0.272115	0.417179						
tianxuanhua	0.561517	0.802313	0.719194						
background	0.987611	0.996149	0.993767	0.972277	0.638063	0.728025	0.760976	736	4
abuth	0.856431	0.945392	0.922664						
