class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.906712	0.948155	0.951074						
background	0.988751	0.995119	0.994344	0.989896	0.942127	0.965583	0.969825	1280	40
abuth	0.939752	0.967986	0.968940						
cotton	0.897878	0.933643	0.946191						
background	0.988840	0.994271	0.994389	0.989909	0.942902	0.970584	0.970267	1312	41
abuth	0.937892	0.968998	0.967950						
cotton	0.901973	0.948482	0.948460						
background	0.989032	0.994778	0.994486	0.990087	0.943216	0.968867	0.970419	1344	42
abuth	0.940368	0.968778	0.969268						
cotton	0.900247	0.943044	0.947505						
background	0.988420	0.993236	0.994176	0.989711	0.943451	0.972544	0.970588	1376	43
abuth	0.936008	0.976933	0.966947						
cotton	0.905925	0.947464	0.950641						
background	0.988534	0.994196	0.994234	0.989705	0.941847	0.967642	0.969692	1408	44
abuth	0.937326	0.973966	0.967649						
cotton	0.899682	0.934766	0.947192						
background	0.987809	0.992518	0.993867	0.989025	0.940057	0.971521	0.968762	1440	45
abuth	0.929227	0.977693	0.963316						
cotton	0.903134	0.944352	0.949102						
background	0.988235	0.993059	0.994083	0.989254	0.939715	0.969809	0.968552	1472	46
abuth	0.931731	0.977904	0.964659						
cotton	0.899178	0.938465	0.946913						
background	0.988454	0.993558	0.994193	0.989558	0.941484	0.969968	0.969510	1504	47
abuth	0.934670	0.975362	0.966232						
cotton	0.901329	0.940984	0.948104						
background	0.988503	0.993381	0.994218	0.989531	0.940998	0.969930	0.969242	1536	48
abuth	0.934350	0.977871	0.966061						
cotton	0.900141	0.938537	0.947447						
background	0.988483	0.993373	0.994208	0.989555	0.941446	0.970395	0.969490	1568	49
abuth	0.934358	0.977227	0.966065						
cotton	0.901496	0.940583	0.948197						
background	0.988763	0.993888	0.994350	0.989851	0.942714	0.970059	0.970167	1600	50
abuth	0.937431	0.975583	0.967705						
cotton	0.901949	0.940705	0.948447						
