Iter	epoch	cotton_to_abuth	abuth_to_cotton
50	4	0.015437	0.668054
100	7	0.028865	0.318352
150	10	0.031772	0.074470
200	13	0.009384	0.101451
250	16	0.005783	0.029237
300	19	0.001714	0.111984
350	22	0.003187	0.093323
400	25	0.006736	0.058849
