epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,59.23,67.7,94.74,68.08,97.52,15.65,64.51,1.54,66.81
7,100,68.69,74.4,95.31,79.47,96.61,43.55,65.91,2.89,31.84
10,150,85.89,90.49,97.98,92.06,98.4,72.67,86.6,3.18,7.45
13,200,86.96,90.39,98.18,92.71,98.53,74.06,88.31,0.94,10.15
16,250,92.52,95.55,98.84,96.03,98.87,85.73,92.96,0.58,2.92
19,300,88.62,92.15,98.44,93.74,98.79,77.41,89.66,0.17,11.2
22,350,89.97,93.55,98.61,94.55,98.9,80.33,90.68,0.32,9.33
25,400,91.23,94.51,98.73,95.29,98.91,82.93,91.86,0.67,5.88
