class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.981049	0.996224	0.990434	0.966134	0.739844	0.804008	0.833722	100	7
abuth	0.477864	0.517081	0.646696						
cotton	0.760620	0.898718	0.864037						
background	0.983097	0.996719	0.991476	0.977296	0.829957	0.870483	0.900786	200	13
abuth	0.650921	0.675194	0.788555						
cotton	0.855851	0.939535	0.922328						
background	0.987458	0.993130	0.993689	0.983292	0.880323	0.925471	0.933951	300	19
abuth	0.769379	0.809194	0.869660						
cotton	0.884132	0.974091	0.938504						
background	0.988127	0.994769	0.994028	0.987795	0.922123	0.953368	0.958630	400	25
abuth	0.853558	0.901562	0.920994						
cotton	0.924685	0.963772	0.960869						
background	0.988302	0.995528	0.994117	0.987545	0.918005	0.946989	0.956251	500	32
abuth	0.843403	0.882330	0.915050						
cotton	0.922310	0.963109	0.959585						
background	0.988842	0.995228	0.994390	0.988290	0.923991	0.953499	0.959670	600	38
abuth	0.856434	0.899429	0.922666						
cotton	0.926696	0.965841	0.961954						
background	0.988620	0.995070	0.994277	0.987725	0.919087	0.948680	0.956889	700	44
abuth	0.847082	0.881115	0.917211						
cotton	0.921558	0.969855	0.959178						
background	0.988763	0.994408	0.994350	0.988127	0.923286	0.954497	0.959296	800	50
abuth	0.856814	0.895579	0.922886						
cotton	0.924281	0.973504	0.960651						
