class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.969826	0.996574	0.984682	0.944269	0.582643	0.660374	0.670171	50	4
abuth	0.141445	0.151914	0.247835						
cotton	0.636658	0.832634	0.777998						
background	0.982452	0.996556	0.991148	0.954474	0.615118	0.700995	0.700838	100	7
abuth	0.172863	0.174966	0.294771						
cotton	0.690039	0.931463	0.816595						
background	0.985238	0.994890	0.992564	0.975215	0.807655	0.861965	0.885681	150	10
abuth	0.615757	0.640564	0.762190						
cotton	0.821972	0.950441	0.902288						
background	0.986579	0.995169	0.993244	0.982220	0.868655	0.906858	0.926454	200	13
abuth	0.737086	0.757284	0.848647						
cotton	0.882300	0.968120	0.937470						
background	0.986583	0.996255	0.993246	0.982042	0.867607	0.903494	0.925931	250	16
abuth	0.739305	0.758785	0.850115						
cotton	0.876933	0.955442	0.934432						
background	0.988721	0.995351	0.994328	0.988239	0.924995	0.953403	0.960295	300	19
abuth	0.862762	0.901819	0.926326						
cotton	0.923503	0.963038	0.960230						
background	0.988801	0.994188	0.994369	0.985573	0.896854	0.935202	0.943895	350	22
abuth	0.801344	0.834616	0.889718						
cotton	0.900416	0.976802	0.947599						
background	0.989109	0.995718	0.994525	0.989748	0.938287	0.962262	0.967684	400	25
abuth	0.887081	0.927168	0.940162						
cotton	0.938673	0.963901	0.968366						
