epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,67.76,73.76,95.58,77.72,96.99,34.06,72.23,3.16,33.02
7,100,68.27,75.02,95.96,78.08,97.77,34.43,72.6,0.83,45.73
10,150,89.49,92.82,98.39,94.3,98.57,80.99,88.93,1.11,5.78
13,200,84.15,89.05,97.88,90.94,98.63,69.6,84.22,0.08,21.04
16,250,91.48,94.63,98.71,95.45,98.84,84.46,91.14,0.61,5.25
19,300,92.03,96.06,98.68,95.78,98.72,86.47,90.91,0.34,4.12
22,350,91.97,95.54,98.72,95.74,98.8,86.03,91.07,0.2,5.18
25,400,91.96,95.22,98.75,95.73,98.85,85.55,91.48,0.31,5.07
