Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 19, Itrs 1210/10000, Loss=0.089543
Epoch 20, Itrs 1220/10000, Loss=0.086166
Epoch 20, Itrs 1230/10000, Loss=0.191121
Epoch 20, Itrs 1240/10000, Loss=0.106967
Epoch 20, Itrs 1250/10000, Loss=0.106994
Epoch 20, Itrs 1260/10000, Loss=0.171894
Epoch 20, Itrs 1270/10000, Loss=0.180394
Epoch 20, Itrs 1280/10000, Loss=0.096422
Epoch 21, Itrs 1290/10000, Loss=0.175761
Epoch 21, Itrs 1300/10000, Loss=0.146291
Epoch 21, Itrs 1310/10000, Loss=0.158753
Epoch 21, Itrs 1320/10000, Loss=0.095695
Epoch 21, Itrs 1330/10000, Loss=0.085782
Epoch 21, Itrs 1340/10000, Loss=0.389066
Epoch 22, Itrs 1350/10000, Loss=0.132293
Epoch 22, Itrs 1360/10000, Loss=0.224430
Epoch 22, Itrs 1370/10000, Loss=0.136498
Epoch 22, Itrs 1380/10000, Loss=0.158997
Epoch 22, Itrs 1390/10000, Loss=0.110413
Epoch 22, Itrs 1400/10000, Loss=0.085428
Epoch 23, Itrs 1410/10000, Loss=0.116888
Epoch 23, Itrs 1420/10000, Loss=0.171138
Epoch 23, Itrs 1430/10000, Loss=0.163552
Epoch 23, Itrs 1440/10000, Loss=0.094070
Epoch 23, Itrs 1450/10000, Loss=0.106808
Epoch 23, Itrs 1460/10000, Loss=0.107759
Epoch 23, Itrs 1470/10000, Loss=0.112845
Epoch 24, Itrs 1480/10000, Loss=0.359982
Epoch 24, Itrs 1490/10000, Loss=0.191096
Epoch 24, Itrs 1500/10000, Loss=0.110752
Epoch 24, Itrs 1510/10000, Loss=0.186090
Epoch 24, Itrs 1520/10000, Loss=0.092402
Epoch 24, Itrs 1530/10000, Loss=0.144447
Epoch 25, Itrs 1540/10000, Loss=0.166291
Epoch 25, Itrs 1550/10000, Loss=0.109139
Epoch 25, Itrs 1560/10000, Loss=0.158462
Epoch 25, Itrs 1570/10000, Loss=0.087040
Epoch 25, Itrs 1580/10000, Loss=0.084666
Epoch 25, Itrs 1590/10000, Loss=0.318317
Epoch 25, Itrs 1600/10000, Loss=0.164281
Epoch 26, Itrs 1610/10000, Loss=0.079366
Epoch 26, Itrs 1620/10000, Loss=0.186871
Epoch 26, Itrs 1630/10000, Loss=0.155695
Epoch 26, Itrs 1640/10000, Loss=0.124482
Epoch 26, Itrs 1650/10000, Loss=0.188769
Epoch 26, Itrs 1660/10000, Loss=0.116264
Epoch 27, Itrs 1670/10000, Loss=0.115187
Epoch 27, Itrs 1680/10000, Loss=0.122844
Epoch 27, Itrs 1690/10000, Loss=0.104739
Epoch 27, Itrs 1700/10000, Loss=0.082560
Epoch 27, Itrs 1710/10000, Loss=0.083610
Epoch 27, Itrs 1720/10000, Loss=0.087689
Epoch 28, Itrs 1730/10000, Loss=0.089274
Epoch 28, Itrs 1740/10000, Loss=0.219617
Epoch 28, Itrs 1750/10000, Loss=0.093192
Epoch 28, Itrs 1760/10000, Loss=0.082319
Epoch 28, Itrs 1770/10000, Loss=0.085524
Epoch 28, Itrs 1780/10000, Loss=0.114182
Epoch 28, Itrs 1790/10000, Loss=0.095090
Epoch 29, Itrs 1800/10000, Loss=0.134672
Epoch 29, Itrs 1810/10000, Loss=0.211030
Epoch 29, Itrs 1820/10000, Loss=0.148817
Epoch 29, Itrs 1830/10000, Loss=0.074048
Epoch 29, Itrs 1840/10000, Loss=0.083865
Epoch 29, Itrs 1850/10000, Loss=0.095209
Epoch 30, Itrs 1860/10000, Loss=0.061733
Epoch 30, Itrs 1870/10000, Loss=0.063594
Epoch 30, Itrs 1880/10000, Loss=0.225784
Epoch 30, Itrs 1890/10000, Loss=0.116474
Epoch 30, Itrs 1900/10000, Loss=0.083580
Epoch 30, Itrs 1910/10000, Loss=0.093916
Epoch 30, Itrs 1920/10000, Loss=0.124576
Epoch 31, Itrs 1930/10000, Loss=0.111995
Epoch 31, Itrs 1940/10000, Loss=0.130004
Epoch 31, Itrs 1950/10000, Loss=0.091666
Epoch 31, Itrs 1960/10000, Loss=0.073572
Epoch 31, Itrs 1970/10000, Loss=0.088873
Epoch 31, Itrs 1980/10000, Loss=0.093584
Epoch 32, Itrs 1990/10000, Loss=0.053787
Epoch 32, Itrs 2000/10000, Loss=0.389874
Epoch 32, Itrs 2010/10000, Loss=0.078445
Epoch 32, Itrs 2020/10000, Loss=0.117979
Epoch 32, Itrs 2030/10000, Loss=0.085831
Epoch 32, Itrs 2040/10000, Loss=0.082387
Epoch 33, Itrs 2050/10000, Loss=0.056400
Epoch 33, Itrs 2060/10000, Loss=0.104129
Epoch 33, Itrs 2070/10000, Loss=0.074869
