class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.989995	0.996562	0.994972	0.981630	0.723653	0.797015	0.822670	3600	16
cotton	0.958288	0.982259	0.978700						
abuth	0.790466	0.942492	0.882972						
canger	0.566911	0.797058	0.723603						
machixian	0.822728	0.884711	0.902744						
longkui	0.594101	0.608414	0.745374						
tianxuanhua	0.348758	0.360383	0.517154						
niujincao	0.717975	0.804244	0.835839						
background	0.990216	0.996455	0.995084	0.981683	0.731955	0.804200	0.830139	3800	16
cotton	0.943283	0.980534	0.970814						
abuth	0.834869	0.920931	0.910004						
canger	0.598175	0.902383	0.748572						
machixian	0.817007	0.861160	0.899289						
longkui	0.489644	0.496149	0.657397						
tianxuanhua	0.429432	0.445837	0.600843						
niujincao	0.753017	0.830150	0.859110						
background	0.989983	0.997090	0.994966	0.980394	0.712909	0.785323	0.817294	4000	17
cotton	0.916880	0.977535	0.956638						
abuth	0.716788	0.953142	0.835034						
canger	0.602544	0.649356	0.751984						
machixian	0.811002	0.856811	0.895639						
longkui	0.659595	0.669358	0.794887						
tianxuanhua	0.344838	0.352181	0.512832						
niujincao	0.661643	0.827110	0.796372						
background	0.990213	0.995765	0.995082	0.983157	0.749626	0.818471	0.842445	4200	18
cotton	0.926437	0.988489	0.961814						
abuth	0.832629	0.897096	0.908671						
canger	0.668268	0.847851	0.801152						
machixian	0.816914	0.871027	0.899233						
longkui	0.723292	0.810589	0.839431						
tianxuanhua	0.349014	0.357153	0.517436						
niujincao	0.690245	0.779801	0.816739						
background	0.990669	0.995554	0.995313	0.983039	0.742353	0.825790	0.838913	4400	19
cotton	0.954856	0.985999	0.976907						
abuth	0.741831	0.980454	0.851783						
canger	0.616658	0.704090	0.762880						
machixian	0.822704	0.911422	0.902729						
longkui	0.770919	0.785408	0.870643						
tianxuanhua	0.393862	0.404935	0.565138						
niujincao	0.647322	0.838461	0.785908						
background	0.989744	0.997510	0.994845	0.983304	0.761484	0.821737	0.857672	4600	20
cotton	0.927693	0.971655	0.962491						
abuth	0.812149	0.929807	0.896338						
canger	0.662267	0.768199	0.796823						
machixian	0.780540	0.823334	0.876745						
longkui	0.705290	0.718742	0.827179						
tianxuanhua	0.542087	0.591526	0.703057						
niujincao	0.672102	0.773123	0.803901						
background	0.989795	0.997315	0.994871	0.979204	0.719296	0.786503	0.824948	4800	21
cotton	0.890798	0.977153	0.942246						
abuth	0.758456	0.881107	0.862639						
canger	0.560139	0.691817	0.718063						
machixian	0.818314	0.865430	0.900080						
longkui	0.472571	0.473737	0.641831						
tianxuanhua	0.531306	0.588864	0.693925						
niujincao	0.732991	0.816599	0.845926						
background	0.990508	0.996146	0.995231	0.981359	0.733364	0.806490	0.833449	5000	22
cotton	0.897636	0.989307	0.946057						
abuth	0.793784	0.857830	0.885039						
canger	0.671427	0.825484	0.803418						
machixian	0.833683	0.887917	0.909299						
longkui	0.595238	0.655563	0.746269						
tianxuanhua	0.393943	0.402382	0.565221						
niujincao	0.690696	0.837295	0.817055						
background	0.990389	0.997327	0.995171	0.982949	0.750886	0.827247	0.846973	5200	22
cotton	0.956660	0.979079	0.977850						
abuth	0.799940	0.937076	0.888852						
canger	0.493577	0.537047	0.660932						
machixian	0.820570	0.892567	0.901443						
longkui	0.681532	0.888593	0.810608						
tianxuanhua	0.536779	0.558438	0.698577						
niujincao	0.727638	0.827847	0.842350						
background	0.990258	0.996963	0.995105	0.980436	0.722527	0.797242	0.825811	5400	23
cotton	0.922335	0.966817	0.959598						
abuth	0.745758	0.973926	0.854366						
canger	0.619017	0.763047	0.764683						
machixian	0.823021	0.879006	0.902920						
longkui	0.417336	0.418292	0.588902						
tianxuanhua	0.544403	0.567450	0.705001						
niujincao	0.718087	0.812434	0.835915						
background	0.990541	0.996948	0.995248	0.982278	0.738550	0.806025	0.838219	5600	24
cotton	0.934447	0.980620	0.966113						
abuth	0.835958	0.947756	0.910650						
canger	0.608453	0.835456	0.756569						
machixian	0.786269	0.818865	0.880348						
longkui	0.545768	0.548699	0.706145						
tianxuanhua	0.480527	0.502569	0.649130						
niujincao	0.726438	0.817291	0.841546						
background	0.990988	0.996968	0.995473	0.983051	0.736178	0.808745	0.828817	5800	25
cotton	0.943819	0.968767	0.971098						
abuth	0.849677	0.973811	0.918730						
canger	0.619998	0.879633	0.765431						
machixian	0.833879	0.887564	0.909415						
longkui	0.648084	0.651839	0.786470						
tianxuanhua	0.293614	0.303020	0.453943						
niujincao	0.709366	0.808357	0.829976						
background	0.990737	0.996895	0.995347	0.982287	0.737906	0.802362	0.834246	6000	26
cotton	0.910195	0.975755	0.952986						
abuth	0.874154	0.964314	0.932852						
canger	0.675977	0.898600	0.806666						
machixian	0.833161	0.891104	0.908988						
longkui	0.446112	0.448608	0.616981						
tianxuanhua	0.451018	0.466788	0.621657						
niujincao	0.721892	0.776834	0.838487						
background	0.990912	0.996202	0.995435	0.986131	0.797683	0.854654	0.879279	6200	27
cotton	0.943731	0.983004	0.971051						
abuth	0.830434	0.945896	0.907363						
canger	0.725537	0.821301	0.840941						
machixian	0.823835	0.902891	0.903410						
longkui	0.854569	0.910187	0.921582						
tianxuanhua	0.480978	0.498401	0.649541						
niujincao	0.731466	0.779350	0.844909						
background	0.990835	0.996821	0.995396	0.987609	0.807065	0.858480	0.883108	6400	27
cotton	0.962196	0.977666	0.980734						
abuth	0.897472	0.966832	0.945966						
canger	0.745608	0.898119	0.854268						
machixian	0.811491	0.848989	0.895937						
longkui	0.888406	0.958829	0.940906						
tianxuanhua	0.450784	0.466897	0.621435						
niujincao	0.709725	0.753684	0.830221						
background	0.990920	0.996602	0.995439	0.984909	0.775628	0.835167	0.863962	6600	28
cotton	0.957119	0.978229	0.978090						
abuth	0.794319	0.978183	0.885371						
canger	0.645503	0.779688	0.784566						
machixian	0.817242	0.872592	0.899431						
longkui	0.817791	0.828485	0.899764						
tianxuanhua	0.460961	0.478918	0.631038						
niujincao	0.721170	0.768639	0.838000						
background	0.990999	0.996776	0.995479	0.986505	0.802290	0.854082	0.881400	6800	29
cotton	0.950885	0.981545	0.974824						
abuth	0.853403	0.961787	0.920904						
canger	0.688843	0.807905	0.815758						
machixian	0.822244	0.862527	0.902452						
longkui	0.877824	0.922296	0.934937						
tianxuanhua	0.473944	0.493270	0.643097						
niujincao	0.760173	0.806549	0.863748						
background	0.990954	0.997184	0.995456	0.984189	0.763259	0.819370	0.852746	7000	30
cotton	0.915914	0.975996	0.956112						
abuth	0.893000	0.948187	0.943476						
canger	0.727926	0.930394	0.842543						
machixian	0.837782	0.894416	0.911731						
longkui	0.609402	0.614347	0.757303						
tianxuanhua	0.397905	0.411037	0.569288						
niujincao	0.733189	0.783400	0.846058						
background	0.990875	0.996867	0.995417	0.987294	0.810476	0.863034	0.887581	7200	31
cotton	0.965008	0.983501	0.982193						
abuth	0.830502	0.964252	0.907403						
canger	0.700153	0.778873	0.823635						
machixian	0.827561	0.879346	0.905645						
longkui	0.939607	0.962612	0.968863						
tianxuanhua	0.536913	0.556079	0.698690						
niujincao	0.693191	0.782744	0.818798						
background	0.991378	0.996710	0.995671	0.983197	0.734603	0.809840	0.831148	7400	32
cotton	0.920197	0.984156	0.958440						
abuth	0.859580	0.957880	0.924488						
canger	0.703497	0.899073	0.825944						
machixian	0.832408	0.882124	0.908540						
longkui	0.555355	0.558522	0.714120						
tianxuanhua	0.364236	0.374838	0.533978						
niujincao	0.650174	0.825415	0.788006						
background	0.991155	0.996397	0.995558	0.985560	0.780945	0.837728	0.866043	7600	32
cotton	0.923454	0.989746	0.960204						
abuth	0.905970	0.932530	0.950665						
canger	0.769111	0.963353	0.869489						
machixian	0.838582	0.888195	0.912205						
longkui	0.685645	0.691264	0.813510						
tianxuanhua	0.427496	0.441270	0.598946						
niujincao	0.706149	0.799069	0.827769						
background	0.991638	0.996846	0.995802	0.985224	0.770968	0.837848	0.858959	7800	33
cotton	0.955735	0.981961	0.977367						
abuth	0.804689	0.964785	0.891776						
canger	0.670075	0.822200	0.802449						
machixian	0.852296	0.907281	0.920259						
longkui	0.771939	0.778429	0.871293						
tianxuanhua	0.409453	0.420256	0.581010						
niujincao	0.711916	0.831024	0.831719						
background	0.991372	0.996774	0.995667	0.987202	0.810901	0.861930	0.889117	8000	34
cotton	0.934530	0.982870	0.966157						
abuth	0.920692	0.956200	0.958709						
canger	0.804063	0.960610	0.891391						
machixian	0.836172	0.899838	0.910778						
longkui	0.713345	0.719198	0.832693						
tianxuanhua	0.545674	0.568002	0.706066						
niujincao	0.741361	0.811949	0.851473						
background	0.991489	0.996614	0.995726	0.985498	0.789040	0.851275	0.875222	8200	35
cotton	0.925410	0.981381	0.961260						
abuth	0.872814	0.918342	0.932088						
canger	0.744927	0.934263	0.853820						
machixian	0.853207	0.932147	0.920790						
longkui	0.648141	0.656507	0.786512						
tianxuanhua	0.552681	0.576435	0.711905						
niujincao	0.723648	0.814509	0.839671						
background	0.991560	0.996843	0.995762	0.985351	0.773215	0.838192	0.856410	8400	36
cotton	0.948017	0.978643	0.973315						
abuth	0.837875	0.967380	0.911787						
canger	0.656741	0.817328	0.792811						
machixian	0.841409	0.900124	0.913875						
longkui	0.838252	0.858219	0.912010						
tianxuanhua	0.337967	0.346495	0.505195						
niujincao	0.733897	0.840504	0.846529						
background	0.991406	0.996323	0.995685	0.985560	0.777345	0.843053	0.863148	8600	37
cotton	0.963141	0.989405	0.981224						
abuth	0.780323	0.949250	0.876608						
canger	0.663395	0.754931	0.797640						
machixian	0.812406	0.888422	0.896494						
longkui	0.873346	0.938177	0.932391						
tianxuanhua	0.419826	0.431587	0.591376						
niujincao	0.714919	0.796327	0.833764						
background	0.991334	0.996709	0.995648	0.984997	0.757781	0.825640	0.841967	8800	37
cotton	0.962521	0.976730	0.980902						
abuth	0.866626	0.955185	0.928548						
canger	0.664617	0.944456	0.798522						
machixian	0.834750	0.908463	0.909933						
longkui	0.740168	0.760622	0.850685						
tianxuanhua	0.271529	0.276321	0.427091						
niujincao	0.730707	0.786636	0.844403						
background	0.991212	0.996740	0.995587	0.985114	0.776648	0.833844	0.864058	9000	38
cotton	0.937243	0.983848	0.967605						
