class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.982605	0.995908	0.991226	0.970034	0.768208	0.828854	0.855949	100	7
abuth	0.529447	0.573858	0.692338						
cotton	0.792571	0.916797	0.884284						
background	0.979740	0.998034	0.989766	0.973060	0.792176	0.831470	0.872522	200	13
abuth	0.554472	0.560523	0.713389						
cotton	0.842318	0.935853	0.914411						
background	0.988705	0.996103	0.994321	0.985443	0.894594	0.927298	0.942521	300	19
abuth	0.795580	0.822342	0.886154						
cotton	0.899495	0.963449	0.947089						
background	0.988874	0.996210	0.994406	0.987951	0.919375	0.948233	0.956993	400	25
abuth	0.843955	0.891783	0.915375						
cotton	0.925298	0.956705	0.961200						
background	0.989334	0.994271	0.994638	0.989124	0.930500	0.961525	0.963311	500	32
abuth	0.867919	0.913063	0.929290						
cotton	0.934245	0.977240	0.966005						
background	0.989828	0.995762	0.994888	0.989138	0.927746	0.954119	0.961739	600	38
abuth	0.860935	0.894088	0.925272						
cotton	0.932475	0.972508	0.965058						
background	0.989769	0.995112	0.994858	0.987320	0.909688	0.942326	0.951398	700	44
abuth	0.824987	0.853972	0.904102						
cotton	0.914307	0.977893	0.955235						
background	0.989989	0.994419	0.994970	0.987558	0.912152	0.947265	0.952859	800	50
abuth	0.831770	0.866328	0.908160						
cotton	0.914696	0.981049	0.955448						
