class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
others	0.778626	0.825650	0.875537						
background	0.988204	0.997180	0.994067	0.983153	0.852604	0.899480	0.917923	1056	5
cotton	0.879677	0.942328	0.935987						
abuth	0.759791	0.827021	0.863501						
others	0.782746	0.831390	0.878135						
background	0.989215	0.996627	0.994578	0.983462	0.852447	0.904080	0.917753	1088	5
cotton	0.882776	0.958235	0.937739						
abuth	0.764970	0.841044	0.866836						
others	0.772828	0.820412	0.871859						
background	0.989173	0.996751	0.994557	0.983573	0.853065	0.905956	0.918046	1120	6
cotton	0.888183	0.958205	0.940781						
abuth	0.764104	0.854460	0.866280						
others	0.770801	0.814410	0.870568						
background	0.988829	0.997109	0.994383	0.982941	0.847428	0.900651	0.914535	1152	6
cotton	0.883129	0.953424	0.937938						
abuth	0.756894	0.850884	0.861627						
others	0.760862	0.801185	0.864192						
background	0.989175	0.996965	0.994558	0.983475	0.851476	0.902611	0.917049	1184	6
cotton	0.887061	0.959348	0.940151						
abuth	0.760796	0.842407	0.864150						
others	0.768873	0.811724	0.869336						
background	0.988961	0.997037	0.994450	0.983830	0.856778	0.905614	0.920423	1216	6
cotton	0.887512	0.949580	0.940404						
abuth	0.767170	0.844314	0.868247						
others	0.783469	0.831526	0.878590						
background	0.989031	0.997052	0.994485	0.984066	0.858813	0.909828	0.921586	1248	6
cotton	0.894623	0.950495	0.944381						
abuth	0.770896	0.866563	0.870628						
others	0.780703	0.825200	0.876848						
background	0.989420	0.996861	0.994682	0.983533	0.852278	0.910425	0.917489	1280	6
cotton	0.890394	0.953741	0.942020						
abuth	0.768040	0.889329	0.868804						
others	0.761259	0.801770	0.864449						
background	0.989703	0.996617	0.994825	0.982728	0.841653	0.904684	0.910749	1312	7
cotton	0.882901	0.960929	0.937810						
abuth	0.749242	0.878188	0.856648						
others	0.744767	0.783001	0.853715						
background	0.989446	0.996798	0.994695	0.982717	0.842822	0.900387	0.911635	1344	7
cotton	0.877784	0.958077	0.934915						
abuth	0.750262	0.851145	0.857314						
others	0.753794	0.795528	0.859615						
background	0.989298	0.996931	0.994620	0.983091	0.846755	0.905141	0.913996	1376	7
cotton	0.887189	0.954343	0.940223						
abuth	0.753622	0.872025	0.859503						
others	0.756910	0.797265	0.861638						
background	0.989729	0.996694	0.994838	0.983753	0.852184	0.909095	0.917365	1408	7
cotton	0.892992	0.963798	0.943471						
abuth	0.762681	0.872363	0.865365						
others	0.763332	0.803526	0.865784						
background	0.989853	0.996088	0.994900	0.983717	0.851422	0.910776	0.916841	1440	7
cotton	0.894282	0.975266	0.944191						
abuth	0.762716	0.874076	0.865387						
others	0.758840	0.797673	0.862887						
background	0.989483	0.996883	0.994714	0.985045	0.866738	0.915921	0.926307	1472	7
cotton	0.908333	0.962071	0.951965						
abuth	0.780564	0.873306	0.876761						
others	0.788572	0.831426	0.881789						
background	0.989884	0.996383	0.994916	0.985102	0.866091	0.917612	0.925919	1504	7
cotton	0.906834	0.971014	0.951141						
abuth	0.780967	0.872938	0.877014						
others	0.786679	0.830111	0.880605						
background	0.989549	0.996687	0.994747	0.985053	0.867205	0.919952	0.926589	1536	8
cotton	0.908939	0.958793	0.952298						
abuth	0.782991	0.893162	0.878289						
others	0.787343	0.831167	0.881021						
background	0.989742	0.996482	0.994845	0.984158	0.857140	0.914821	0.920368	1568	8
cotton	0.900796	0.968395	0.947810						
abuth	0.775394	0.893578	0.873490						
others	0.762627	0.800828	0.865330						
background	0.989647	0.996610	0.994797	0.985209	0.869419	0.919390	0.928020	1600	8
cotton	0.906399	0.962272	0.950902						
abuth	0.790622	0.882498	0.883070						
others	0.791008	0.836182	0.883311						
background	0.989617	0.996716	0.994781	0.985468	0.872459	0.922296	0.929827	1632	8
cotton	0.911031	0.960684	0.953444						
abuth	0.796265	0.895385	0.886579						
others	0.792923	0.836398	0.884503						
background	0.989728	0.996689	0.994838	0.984628	0.861519	0.918167	0.923010	1664	8
cotton	0.908011	0.963583	0.951788						
abuth	0.776994	0.901812	0.874504						
others	0.771341	0.810586	0.870912						
background	0.989698	0.996766	0.994822	0.984396	0.857906	0.918214	0.920659	1696	8
cotton	0.910141	0.959918	0.952957						
abuth	0.765010	0.911717	0.866862						
others	0.766776	0.804455	0.867994						
background	0.989840	0.996482	0.994894	0.985581	0.871202	0.923178	0.928940	1728	8
cotton	0.916074	0.965302	0.956199						
abuth	0.786347	0.892583	0.880396						
others	0.792547	0.838343	0.884269						
background	0.989604	0.996781	0.994775	0.986065	0.878328	0.923710	0.933327	1760	9
cotton	0.918067	0.962716	0.957284						
abuth	0.800620	0.884501	0.889271						
others	0.805022	0.850840	0.891980						
background	0.989577	0.996818	0.994761	0.986061	0.878340	0.925813	0.933328	1792	9
