class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
others	0.718941	0.754983	0.836493						
background	0.988395	0.996903	0.994164	0.980789	0.827275	0.881359	0.902028	1056	5
cotton	0.848563	0.950625	0.918079						
abuth	0.726212	0.790345	0.841394						
others	0.745929	0.787562	0.854478						
background	0.989336	0.996202	0.994639	0.982328	0.839968	0.897507	0.909944	1088	5
cotton	0.869655	0.965958	0.930284						
abuth	0.747181	0.831736	0.855299						
others	0.753699	0.796132	0.859553						
background	0.989358	0.996295	0.994651	0.983504	0.851406	0.907797	0.916975	1120	6
cotton	0.888168	0.964737	0.940772						
abuth	0.759819	0.860095	0.863519						
others	0.768280	0.810060	0.868958						
background	0.989111	0.996561	0.994526	0.982710	0.843454	0.901413	0.911968	1152	6
cotton	0.882015	0.961608	0.937309						
abuth	0.748224	0.853468	0.855982						
others	0.754468	0.794015	0.860053						
background	0.989253	0.996487	0.994597	0.983348	0.849425	0.903677	0.915736	1184	6
cotton	0.886225	0.963873	0.939681						
abuth	0.753559	0.842387	0.859462						
others	0.768665	0.811961	0.869203						
background	0.989136	0.996611	0.994538	0.983801	0.855134	0.905351	0.919363	1216	6
cotton	0.887376	0.957823	0.940328						
abuth	0.760720	0.835168	0.864101						
others	0.783303	0.831801	0.878485						
background	0.989243	0.996574	0.994592	0.984728	0.864211	0.914300	0.924822	1248	6
cotton	0.902574	0.958894	0.948792						
abuth	0.772125	0.861431	0.871411						
others	0.792904	0.840299	0.884491						
background	0.989519	0.996390	0.994732	0.984059	0.856606	0.913656	0.920121	1280	6
cotton	0.897015	0.962254	0.945712						
abuth	0.767494	0.881126	0.868454						
others	0.772398	0.814856	0.871585						
background	0.989641	0.996230	0.994794	0.982787	0.841175	0.905131	0.910346	1312	7
cotton	0.886751	0.967693	0.939977						
abuth	0.740180	0.870760	0.850694						
others	0.748128	0.785840	0.855919						
background	0.989580	0.996400	0.994763	0.983090	0.845037	0.903619	0.912916	1344	7
cotton	0.884729	0.965528	0.938840						
abuth	0.746231	0.851121	0.854676						
others	0.759609	0.801429	0.863384						
background	0.989489	0.996511	0.994717	0.983650	0.851143	0.909957	0.916655	1376	7
cotton	0.894824	0.961215	0.944493						
abuth	0.753906	0.874585	0.859688						
others	0.766354	0.807516	0.867724						
background	0.989787	0.996261	0.994867	0.983960	0.853156	0.911165	0.917899	1408	7
cotton	0.896797	0.969790	0.945591						
abuth	0.756746	0.868414	0.861532						
others	0.769295	0.810193	0.869606						
background	0.989748	0.995664	0.994847	0.983462	0.848331	0.910142	0.914868	1440	7
cotton	0.893165	0.978738	0.943568						
abuth	0.751716	0.868034	0.858263						
others	0.758695	0.798132	0.862793						
background	0.989492	0.996440	0.994718	0.984753	0.862134	0.913620	0.923436	1472	7
cotton	0.905484	0.967745	0.950398						
abuth	0.764341	0.857703	0.866433						
others	0.789219	0.832592	0.882194						
background	0.989765	0.996058	0.994856	0.984891	0.863455	0.916580	0.924284	1504	7
cotton	0.905120	0.973685	0.950198						
abuth	0.770674	0.864959	0.870486						
others	0.788261	0.831617	0.881595						
background	0.989643	0.996310	0.994795	0.985002	0.865858	0.921140	0.925710	1536	8
cotton	0.910347	0.965115	0.953070						
abuth	0.778867	0.895804	0.875689						
others	0.784575	0.827330	0.879285						
background	0.989739	0.996112	0.994843	0.983490	0.849266	0.912360	0.915373	1568	8
cotton	0.897378	0.973798	0.945914						
abuth	0.761057	0.894965	0.864318						
others	0.748891	0.784566	0.856418						
background	0.989725	0.996397	0.994836	0.985422	0.870087	0.922010	0.928327	1600	8
cotton	0.911786	0.965165	0.953858						
abuth	0.783843	0.887606	0.878825						
others	0.794994	0.838871	0.885790						
background	0.989686	0.996539	0.994816	0.985510	0.871853	0.921961	0.929427	1632	8
cotton	0.912195	0.965340	0.954082						
abuth	0.791151	0.888648	0.883399						
others	0.794382	0.837317	0.885410						
background	0.989712	0.996530	0.994829	0.984720	0.860989	0.919629	0.922523	1664	8
cotton	0.914771	0.967490	0.955489						
abuth	0.768332	0.906207	0.868991						
others	0.771139	0.808290	0.870783						
background	0.989714	0.996535	0.994831	0.985065	0.864182	0.922107	0.924427	1696	8
cotton	0.920229	0.966545	0.958458						
abuth	0.769125	0.909276	0.869498						
others	0.777657	0.816072	0.874924						
background	0.989962	0.996163	0.994956	0.985949	0.873126	0.926024	0.929958	1728	8
cotton	0.924297	0.972526	0.960659						
abuth	0.780680	0.892536	0.876834						
others	0.797566	0.842872	0.887384						
background	0.989778	0.996476	0.994863	0.986041	0.875601	0.924436	0.931553	1760	9
cotton	0.922146	0.969657	0.959496						
abuth	0.788314	0.885675	0.881628						
others	0.802165	0.845937	0.890224						
background	0.989664	0.996595	0.994805	0.986233	0.877750	0.927326	0.932768	1792	9
cotton	0.928003	0.964131	0.962657						
abuth	0.788498	0.898631	0.881743						
others	0.804835	0.849948	0.891865						
background	0.989586	0.996674	0.994766	0.985074	0.864697	0.917231	0.924848	1824	9
cotton	0.916106	0.969437	0.956216						
abuth	0.769758	0.880223	0.869902						
others	0.783341	0.822591	0.878509						
background	0.989770	0.996399	0.994859	0.985214	0.865474	0.918072	0.925353	1856	9
cotton	0.914736	0.971442	0.955470						
abuth	0.768411	0.872443	0.869041						
others	0.788980	0.832005	0.882044						
background	0.989630	0.996684	0.994788	0.985297	0.868069	0.920664	0.926953	1888	9
cotton	0.917496	0.966227	0.956973						
abuth	0.779945	0.893841	0.876370						
others	0.785205	0.825906	0.879680						
background	0.989528	0.996783	0.994736	0.985842	0.874736	0.920304	0.931097	1920	9
cotton	0.918485	0.967766	0.957511						
abuth	0.789584	0.872908	0.882422						
others	0.801347	0.843761	0.889720						
background	0.989639	0.996673	0.994792	0.985442	0.870151	0.920821	0.928268	1952	9
