class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.977170	0.994162	0.988453	0.949856	0.604718	0.691802	0.693294	50	4
abuth	0.170814	0.179116	0.291786						
cotton	0.666170	0.902127	0.799643						
background	0.962599	0.998097	0.980943	0.952190	0.710006	0.778517	0.817987	100	7
abuth	0.548261	0.684418	0.708228						
cotton	0.619157	0.653037	0.764789						
background	0.986328	0.995221	0.993117	0.980191	0.859538	0.921581	0.921182	150	10
abuth	0.735104	0.882606	0.847331						
cotton	0.857181	0.886916	0.923099						
background	0.986235	0.996125	0.993070	0.983579	0.881276	0.913048	0.934131	200	13
abuth	0.756268	0.779720	0.861221						
cotton	0.901325	0.963299	0.948102						
background	0.988442	0.994861	0.994187	0.987786	0.920076	0.950689	0.957428	250	16
abuth	0.847207	0.887983	0.917284						
cotton	0.924579	0.969224	0.960812						
background	0.987568	0.996158	0.993745	0.985145	0.894148	0.924861	0.942141	300	19
abuth	0.789089	0.815436	0.882113						
cotton	0.905786	0.962990	0.950564						
background	0.988715	0.995390	0.994325	0.986827	0.908401	0.940873	0.950636	350	22
abuth	0.820998	0.860067	0.901701						
cotton	0.915489	0.967162	0.955880						
background	0.988749	0.995444	0.994343	0.987604	0.916718	0.948256	0.955481	400	25
abuth	0.839253	0.886999	0.912602						
cotton	0.922151	0.962325	0.959499						
