epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,60.47,69.18,94.99,69.33,97.72,17.08,66.62,1.88,64.66
7,100,71.0,77.85,95.22,81.8,96.26,54.83,61.92,10.48,10.45
10,150,85.95,92.16,98.02,92.12,98.63,73.51,85.72,7.38,2.35
13,200,88.13,91.3,98.36,93.41,98.62,75.63,90.13,0.38,9.29
16,250,92.01,95.07,98.78,95.74,98.84,84.72,92.46,0.27,4.39
19,300,89.41,92.49,98.51,94.21,98.76,78.91,90.58,0.16,8.87
22,350,90.84,94.09,98.68,95.06,98.87,82.1,91.55,0.49,6.65
25,400,91.67,94.83,98.76,95.55,98.87,83.93,92.22,0.8,4.28
