Iter	epoch	cotton_to_abuth	abuth_to_cotton
50	4	0.056608	0.419351
100	7	0.019149	0.306897
150	10	0.037963	0.127519
200	13	0.011857	0.247041
250	16	0.036657	0.053145
300	19	0.015737	0.061920
350	22	0.005339	0.107042
400	25	0.008209	0.064395
