class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.989900	0.995889	0.994924	0.980771	0.711822	0.804651	0.813740	3600	16
cotton	0.938597	0.979190	0.968326						
abuth	0.712930	0.913095	0.832410						
canger	0.588293	0.666297	0.740786						
machixian	0.803362	0.899924	0.890960						
longkui	0.721887	0.824207	0.838483						
tianxuanhua	0.305313	0.312917	0.467800						
niujincao	0.634296	0.845690	0.776231						
background	0.988580	0.997354	0.994257	0.980802	0.746370	0.817595	0.847712	3800	16
cotton	0.900253	0.951206	0.947508						
abuth	0.784818	0.884585	0.879437						
canger	0.622606	0.745976	0.767415						
machixian	0.782525	0.831460	0.877996						
longkui	0.656569	0.703844	0.792685						
tianxuanhua	0.544273	0.597330	0.704892						
niujincao	0.691335	0.829006	0.817502						
background	0.989149	0.996893	0.994545	0.978799	0.704975	0.778457	0.815529	4000	17
cotton	0.910058	0.963407	0.952911						
abuth	0.700988	0.938359	0.824213						
canger	0.592340	0.679041	0.743987						
machixian	0.750028	0.827760	0.857161						
longkui	0.562396	0.575042	0.719915						
tianxuanhua	0.441645	0.467537	0.612695						
niujincao	0.693200	0.779614	0.818804						
background	0.989601	0.996278	0.994773	0.979353	0.717076	0.784662	0.824780	4200	18
cotton	0.870373	0.969058	0.930695						
abuth	0.752494	0.817323	0.858769						
canger	0.701134	0.915305	0.824314						
machixian	0.767908	0.827561	0.868720						
longkui	0.569480	0.576227	0.725692						
tianxuanhua	0.437883	0.481434	0.609066						
niujincao	0.647732	0.694109	0.786210						
background	0.990371	0.996319	0.995162	0.978765	0.693808	0.768560	0.802885	4400	19
cotton	0.907828	0.975616	0.951688						
abuth	0.684534	0.939264	0.812728						
canger	0.635885	0.737534	0.777420						
machixian	0.811297	0.899030	0.895819						
longkui	0.471510	0.476455	0.640852						
tianxuanhua	0.371182	0.393681	0.541405						
niujincao	0.677859	0.730580	0.808004						
background	0.990183	0.996471	0.995067	0.979452	0.707950	0.786713	0.812979	4600	20
cotton	0.867207	0.976525	0.928881						
abuth	0.760758	0.805769	0.864125						
canger	0.720115	0.881541	0.837287						
machixian	0.749898	0.809463	0.857076						
longkui	0.603786	0.664884	0.752951						
tianxuanhua	0.307257	0.315702	0.470079						
niujincao	0.664400	0.843345	0.798366						
background	0.990519	0.996474	0.995237	0.986050	0.784671	0.862357	0.868826	4800	21
cotton	0.957415	0.973822	0.978244						
abuth	0.845157	0.944000	0.916081						
canger	0.712829	0.807708	0.832341						
machixian	0.829569	0.912277	0.906846						
longkui	0.848173	0.940773	0.917850						
tianxuanhua	0.450373	0.475940	0.621045						
niujincao	0.643336	0.847861	0.782963						
background	0.990036	0.997191	0.994993	0.982422	0.732462	0.811581	0.828472	5000	22
cotton	0.936091	0.970568	0.966991						
abuth	0.747708	0.831113	0.855644						
canger	0.685283	0.883088	0.813256						
machixian	0.813525	0.893127	0.897176						
longkui	0.749214	0.813065	0.856629						
tianxuanhua	0.306214	0.312335	0.468857						
niujincao	0.631624	0.792158	0.774228						
background	0.990847	0.996174	0.995402	0.985453	0.790855	0.859386	0.874614	5200	22
cotton	0.929305	0.982960	0.963357						
abuth	0.789718	0.856162	0.882506						
canger	0.769869	0.876650	0.869973						
machixian	0.818912	0.893428	0.900442						
longkui	0.874524	0.931843	0.933063						
tianxuanhua	0.472760	0.502012	0.642005						
niujincao	0.680905	0.835856	0.810165						
background	0.990065	0.997022	0.995008	0.984196	0.766155	0.833796	0.853816	5400	23
cotton	0.928562	0.965896	0.962958						
abuth	0.833700	0.917221	0.909309						
canger	0.712878	0.839868	0.832374						
machixian	0.826425	0.879083	0.904964						
longkui	0.782289	0.884152	0.877848						
tianxuanhua	0.355824	0.362331	0.524883						
niujincao	0.699498	0.824791	0.823182						
background	0.988122	0.997462	0.994026	0.979191	0.721752	0.798826	0.825200	5600	24
cotton	0.861367	0.937129	0.925521						
abuth	0.752555	0.852117	0.858809						
canger	0.697069	0.763589	0.821497						
machixian	0.782896	0.863804	0.878230						
longkui	0.721721	0.782028	0.838371						
tianxuanhua	0.352943	0.363950	0.521741						
niujincao	0.617341	0.830528	0.763402						
background	0.990541	0.996786	0.995248	0.985112	0.773506	0.841125	0.861009	5800	25
cotton	0.951970	0.973318	0.975394						
abuth	0.864899	0.914425	0.927556						
canger	0.695936	0.951127	0.820710						
machixian	0.794344	0.851020	0.885387						
longkui	0.765211	0.789770	0.866991						
tianxuanhua	0.414057	0.429614	0.585629						
niujincao	0.711092	0.822939	0.831156						
background	0.990107	0.996890	0.995029	0.984320	0.771753	0.836947	0.860916	6000	26
cotton	0.932704	0.967687	0.965180						
abuth	0.841364	0.904577	0.913849						
canger	0.724351	0.930528	0.840143						
machixian	0.814899	0.919421	0.898010						
longkui	0.719702	0.727641	0.837008						
tianxuanhua	0.426393	0.446261	0.597862						
niujincao	0.724505	0.802573	0.840247						
background	0.990333	0.996374	0.995143	0.985488	0.799672	0.866713	0.881037	6200	27
cotton	0.944660	0.976414	0.971543						
abuth	0.820546	0.915626	0.901429						
canger	0.690466	0.756111	0.816895						
machixian	0.811549	0.861832	0.895973						
longkui	0.891826	0.926523	0.942820						
tianxuanhua	0.508829	0.665179	0.674468						
niujincao	0.739165	0.835645	0.850023						
background	0.990607	0.996346	0.995281	0.981569	0.742338	0.806971	0.840571	6400	27
cotton	0.893333	0.979908	0.943662						
abuth	0.789059	0.914871	0.882094						
canger	0.677465	0.769684	0.807725						
machixian	0.816216	0.886666	0.898810						
longkui	0.622016	0.678446	0.766967						
tianxuanhua	0.404010	0.417473	0.575509						
niujincao	0.745999	0.812374	0.854524						
background	0.991147	0.996297	0.995554	0.987775	0.829860	0.888486	0.902621	6600	28
cotton	0.952563	0.979544	0.975705						
abuth	0.869105	0.901580	0.929969						
canger	0.763741	0.914784	0.866047						
machixian	0.837691	0.909647	0.911678						
longkui	0.866403	0.889211	0.928420						
tianxuanhua	0.608698	0.711577	0.756759						
niujincao	0.749532	0.805247	0.856837						
background	0.990895	0.996558	0.995426	0.986095	0.794795	0.858557	0.877242	6800	29
cotton	0.932131	0.980068	0.964874						
abuth	0.859604	0.900740	0.924502						
canger	0.770337	0.920364	0.870271						
machixian	0.828225	0.911871	0.906043						
longkui	0.817134	0.830131	0.899366						
tianxuanhua	0.476451	0.498652	0.645401						
niujincao	0.683580	0.830074	0.812055						
background	0.990414	0.996359	0.995184	0.984833	0.780572	0.847659	0.866135	7000	30
cotton	0.919554	0.977732	0.958091						
abuth	0.818797	0.887237	0.900372						
canger	0.763182	0.897012	0.865687						
machixian	0.825838	0.873872	0.904612						
longkui	0.839883	0.861079	0.912975						
tianxuanhua	0.421617	0.434369	0.593151						
niujincao	0.665289	0.853612	0.799007						
background	0.990748	0.996324	0.995353	0.984673	0.793158	0.856833	0.876525	7200	31
cotton	0.919072	0.974324	0.957830						
abuth	0.775465	0.819751	0.873535						
canger	0.726700	0.915153	0.841721						
machixian	0.826552	0.896154	0.905041						
longkui	0.874966	0.913852	0.933314						
tianxuanhua	0.474260	0.497747	0.643387						
niujincao	0.757499	0.841360	0.862019						
background	0.990771	0.996348	0.995364	0.985118	0.790178	0.853485	0.875305	7400	32
cotton	0.931778	0.976466	0.964685						
abuth	0.834827	0.892988	0.909979						
canger	0.717026	0.922601	0.835195						
machixian	0.803651	0.850075	0.891138						
longkui	0.797503	0.821556	0.887345						
tianxuanhua	0.490218	0.515512	0.657915						
niujincao	0.755646	0.852336	0.860818						
background	0.991028	0.996619	0.995494	0.987174	0.813857	0.867687	0.889013	7600	32
cotton	0.949120	0.976799	0.973896						
abuth	0.848511	0.940242	0.918048						
canger	0.753822	0.879167	0.859633						
machixian	0.819623	0.886760	0.900871						
longkui	0.915456	0.943244	0.955862						
tianxuanhua	0.481372	0.502231	0.649900						
niujincao	0.751923	0.816437	0.858397						
background	0.990925	0.996607	0.995442	0.985538	0.788027	0.847114	0.869781	7800	33
cotton	0.930459	0.981324	0.963977						
abuth	0.829577	0.907335	0.906851						
canger	0.740432	0.882876	0.850860						
machixian	0.817297	0.881066	0.899464						
longkui	0.867330	0.882479	0.928952						
tianxuanhua	0.395905	0.405767	0.567237						
niujincao	0.732295	0.839461	0.845462						
background	0.991048	0.996529	0.995504	0.988386	0.829283	0.880419	0.900280	8000	34
cotton	0.959445	0.981496	0.979303						
abuth	0.879163	0.929785	0.935696						
canger	0.789756	0.915128	0.882529						
machixian	0.817125	0.872425	0.899360						
longkui	0.921002	0.972257	0.958877						
tianxuanhua	0.547266	0.591612	0.707398						
niujincao	0.729462	0.784116	0.843571						
background	0.991347	0.996635	0.995655	0.988463	0.829241	0.884932	0.900360	8200	35
cotton	0.957244	0.980782	0.978155						
abuth	0.886471	0.939872	0.939820						
canger	0.802176	0.933184	0.890230						
machixian	0.832514	0.885617	0.908603						
longkui	0.887239	0.908951	0.940251						
tianxuanhua	0.541772	0.586930	0.702791						
niujincao	0.735165	0.847481	0.847372						
background	0.991279	0.996817	0.995620	0.986751	0.803680	0.856872	0.881423	8400	36
cotton	0.936326	0.981354	0.967116						
abuth	0.863775	0.916490	0.926909						
canger	0.773726	0.935107	0.872430						
machixian	0.823336	0.868047	0.903110						
longkui	0.862591	0.879155	0.926227						
tianxuanhua	0.437839	0.450321	0.609024						
niujincao	0.740572	0.827683	0.850952						
background	0.991274	0.996834	0.995618	0.986914	0.806148	0.860891	0.882508	8600	37
cotton	0.940277	0.980261	0.969219						
abuth	0.852516	0.915079	0.920387						
canger	0.776477	0.928895	0.874176						
machixian	0.841332	0.901611	0.913830						
longkui	0.874510	0.885989	0.933054						
tianxuanhua	0.429877	0.440583	0.601278						
niujincao	0.742925	0.837878	0.852504						
background	0.991080	0.997155	0.995520	0.986942	0.809284	0.862026	0.884006	8800	37
cotton	0.941919	0.973625	0.970091						
abuth	0.845209	0.881793	0.916112						
canger	0.765804	0.954399	0.867372						
machixian	0.844758	0.899035	0.915847						
longkui	0.919641	0.934946	0.958138						
tianxuanhua	0.429154	0.444933	0.600570						
niujincao	0.736708	0.810322	0.848396						
background	0.991252	0.996993	0.995607	0.987906	0.814702	0.870631	0.886317	9000	38
cotton	0.955432	0.975081	0.977208						
abuth	0.886853	0.921927	0.940034						
canger	0.772024	0.966578	0.871347						
machixian	0.846294	0.902130	0.916749						
longkui	0.921636	0.940566	0.959220						
tianxuanhua	0.416391	0.428199	0.587961						
niujincao	0.727732	0.833573	0.842413						
background	0.991294	0.996871	0.995628	0.988501	0.827543	0.876490	0.896215	9200	39
cotton	0.961962	0.977738	0.980612						
abuth	0.878686	0.956687	0.935426						
canger	0.785981	0.927190	0.880167						
machixian	0.840821	0.896771	0.913529						
longkui	0.934458	0.952566	0.966119						
tianxuanhua	0.459582	0.476588	0.629745						
niujincao	0.767557	0.827506	0.868495						
background	0.991400	0.996624	0.995681	0.988391	0.833883	0.881407	0.903136	9400	40
cotton	0.945753	0.983653	0.972120						
abuth	0.871201	0.904438	0.931168						
canger	0.815319	0.952714	0.898265						
machixian	0.840295	0.895317	0.913218						
longkui	0.923011	0.941160	0.959964						
tianxuanhua	0.540557	0.566521	0.701768						
niujincao	0.743530	0.810828	0.852902						
background	0.991428	0.996887	0.995695	0.988464	0.821580	0.876244	0.892069	9600	41
cotton	0.960860	0.977955	0.980039						
abuth	0.890633	0.944034	0.942153						
canger	0.791883	0.958234	0.883855						
machixian	0.844330	0.901751	0.915595						
longkui	0.911226	0.933208	0.953551						
tianxuanhua	0.448318	0.461413	0.619088						
niujincao	0.733961	0.836466	0.846571						
background	0.991369	0.996921	0.995666	0.988970	0.831644	0.888085	0.900809	9800	42
cotton	0.960398	0.979171	0.979799						
abuth	0.886709	0.936645	0.939953						
canger	0.826534	0.918691	0.905030						
machixian	0.842760	0.902257	0.914672						
