class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.830131	0.895560	0.907182						
background	0.988537	0.994204	0.994236	0.986664	0.912021	0.949126	0.952763	1280	6
abuth	0.918278	0.963246	0.957398						
cotton	0.829248	0.889930	0.906654						
background	0.988705	0.994912	0.994321	0.986879	0.912415	0.946441	0.952955	1312	6
abuth	0.920328	0.962567	0.958511						
cotton	0.828211	0.881846	0.906034						
background	0.988820	0.995616	0.994378	0.987783	0.922744	0.955021	0.958968	1344	6
abuth	0.925089	0.954713	0.961087						
cotton	0.854324	0.914734	0.921440						
background	0.988477	0.996033	0.994205	0.987048	0.916254	0.947399	0.955251	1376	6
abuth	0.919949	0.952018	0.958305						
cotton	0.840336	0.894147	0.913242						
background	0.988607	0.995955	0.994271	0.987518	0.919796	0.949524	0.957260	1408	6
abuth	0.924526	0.955686	0.960783						
cotton	0.846254	0.896931	0.916726						
background	0.988788	0.995634	0.994362	0.988196	0.926199	0.956208	0.960906	1440	6
abuth	0.929863	0.958027	0.963657						
cotton	0.859945	0.914962	0.924700						
background	0.988712	0.995772	0.994324	0.988229	0.926990	0.956965	0.961361	1472	6
abuth	0.930180	0.955984	0.963827						
cotton	0.862079	0.919138	0.925932						
background	0.988927	0.996299	0.994433	0.988709	0.931123	0.960505	0.963688	1504	7
abuth	0.933355	0.951696	0.965529						
cotton	0.871086	0.933520	0.931102						
background	0.989070	0.995993	0.994505	0.989097	0.934658	0.962786	0.965665	1536	7
abuth	0.936059	0.956428	0.966974						
cotton	0.878846	0.935937	0.935517						
background	0.989387	0.995769	0.994665	0.989195	0.934707	0.963714	0.965693	1568	7
abuth	0.935474	0.958614	0.966661						
cotton	0.879262	0.936760	0.935752						
background	0.989227	0.995834	0.994584	0.989182	0.935329	0.964269	0.966045	1600	7
abuth	0.935765	0.957018	0.966817						
cotton	0.880996	0.939957	0.936733						
background	0.989279	0.994987	0.994610	0.989333	0.936982	0.967105	0.966965	1632	7
abuth	0.936878	0.963466	0.967411						
cotton	0.884790	0.942860	0.938874						
background	0.989275	0.996008	0.994609	0.989511	0.938736	0.965827	0.967940	1664	7
abuth	0.937944	0.957182	0.967979						
cotton	0.888988	0.944293	0.941232						
background	0.989643	0.995365	0.994794	0.989833	0.940977	0.970150	0.969174	1696	7
abuth	0.939336	0.961637	0.968719						
cotton	0.893953	0.953450	0.944008						
background	0.989342	0.995894	0.994642	0.989600	0.938821	0.965007	0.967973	1728	7
abuth	0.939295	0.960601	0.968697						
cotton	0.887825	0.938524	0.940580						
background	0.989203	0.995823	0.994572	0.989044	0.932490	0.958950	0.964424	1760	8
abuth	0.936500	0.962873	0.967209						
cotton	0.871767	0.918156	0.931491						
background	0.989370	0.994660	0.994657	0.988992	0.931872	0.961378	0.964082	1792	8
abuth	0.935289	0.970543	0.966562						
cotton	0.870956	0.918931	0.931028						
background	0.989420	0.995776	0.994682	0.988621	0.927335	0.955884	0.961518	1824	8
abuth	0.932051	0.962347	0.964831						
cotton	0.860536	0.909528	0.925041						
background	0.989508	0.995183	0.994726	0.988368	0.924328	0.954312	0.959803	1856	8
abuth	0.929915	0.967375	0.963685						
cotton	0.853562	0.900378	0.920996						
background	0.989365	0.995868	0.994654	0.989226	0.934789	0.962042	0.965733	1888	8
abuth	0.936048	0.960346	0.966968						
cotton	0.878953	0.929914	0.935577						
background	0.989217	0.995998	0.994579	0.989148	0.934618	0.962508	0.965641	1920	8
abuth	0.935906	0.957410	0.966892						
cotton	0.878732	0.934116	0.935452						
background	0.989006	0.996285	0.994473	0.988871	0.932813	0.960936	0.964644	1952	8
abuth	0.933830	0.953256	0.965783						
cotton	0.875602	0.933266	0.933676						
background	0.989209	0.996036	0.994575	0.989251	0.935849	0.964167	0.966329	1984	8
abuth	0.936698	0.955978	0.967315						
cotton	0.881640	0.940487	0.937098						
