epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,56.93,63.98,94.0,65.55,96.09,12.15,62.56,2.42,51.79
7,100,65.95,73.46,95.66,75.97,97.92,31.07,68.85,0.58,56.15
10,150,85.11,89.94,97.87,91.6,98.4,72.34,84.6,2.81,10.89
13,200,89.67,93.79,98.48,94.39,98.72,80.56,89.72,1.63,5.91
16,250,85.21,90.73,97.95,91.65,98.6,72.14,84.89,0.19,18.81
19,300,86.27,90.75,98.19,92.28,98.79,72.97,87.04,0.04,17.29
22,350,91.4,95.23,98.66,95.41,98.76,84.28,91.16,0.05,5.97
25,400,93.69,96.37,98.94,96.69,98.86,88.36,93.84,0.23,1.04
