class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.974533	0.996249	0.987102	0.953853	0.651471	0.724176	0.751049	50	4
abuth	0.289897	0.314076	0.449489						
cotton	0.689982	0.862204	0.816556						
background	0.965326	0.998336	0.982357	0.956287	0.721559	0.777147	0.825157	100	7
abuth	0.518980	0.597383	0.683327						
cotton	0.680371	0.735722	0.809787						
background	0.978642	0.986489	0.989206	0.973150	0.835679	0.916257	0.906994	150	10
abuth	0.728966	0.858913	0.843239						
cotton	0.799430	0.903369	0.888537						
background	0.984080	0.991049	0.991976	0.981617	0.880799	0.929901	0.934593	200	13
abuth	0.782907	0.835778	0.878236						
cotton	0.875409	0.962875	0.933566						
background	0.988535	0.994120	0.994235	0.987491	0.916967	0.950886	0.955645	250	16
abuth	0.840834	0.883529	0.913536						
cotton	0.921533	0.975010	0.959164						
background	0.987222	0.995485	0.993570	0.983719	0.879643	0.914422	0.933156	300	19
abuth	0.754547	0.774678	0.860104						
cotton	0.897161	0.973104	0.945793						
background	0.988651	0.994679	0.994293	0.985855	0.898727	0.934981	0.944913	350	22
abuth	0.800465	0.835301	0.889176						
cotton	0.907066	0.974963	0.951268						
background	0.988850	0.995223	0.994393	0.986663	0.905828	0.939514	0.949093	400	25
abuth	0.814108	0.853091	0.897530						
cotton	0.914526	0.970229	0.955355						
