Iter	epoch	cotton_to_abuth	abuth_to_cotton
50	4	0.032509	0.471068
100	7	0.062041	0.159369
150	10	0.065889	0.048599
200	13	0.016271	0.069137
250	16	0.004161	0.049537
300	19	0.000516	0.116637
350	22	0.003479	0.090500
400	25	0.005406	0.071828
