epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
7,100,76.82,82.89,97.0,85.59,98.26,52.94,79.26,2.71,27.9
13,200,79.22,83.15,97.31,87.25,97.97,55.45,84.23,0.01,20.81
19,300,89.46,92.73,98.54,94.25,98.87,79.56,89.95,0.05,10.71
25,400,91.94,94.82,98.8,95.7,98.89,84.4,92.53,0.91,3.49
32,500,93.05,96.15,98.91,96.33,98.93,86.79,93.42,0.47,2.71
38,600,92.77,95.41,98.91,96.17,98.98,86.09,93.25,0.15,4.32
44,700,90.97,94.23,98.73,95.14,98.98,82.5,91.43,0.03,8.62
50,800,91.22,94.73,98.76,95.29,99.0,83.18,91.47,0.07,8.45
