epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
7,100,65.66,72.42,95.44,75.48,97.23,28.99,70.78,3.14,41.46
13,200,79.83,85.31,97.3,87.91,98.23,59.8,81.46,3.09,19.7
19,300,87.01,92.95,98.09,92.78,98.49,75.24,87.3,2.17,9.06
25,400,88.61,93.21,98.34,93.76,98.68,78.64,88.51,2.66,5.93
32,500,89.07,93.37,98.4,94.03,98.68,79.38,89.15,2.18,5.65
38,600,89.52,93.74,98.46,94.3,98.73,80.25,89.56,1.7,6.24
44,700,90.48,94.1,98.58,94.87,98.76,82.17,90.53,0.91,5.82
50,800,90.68,94.4,98.6,94.99,98.77,82.52,90.75,0.99,5.43
