epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,58.26,66.04,94.43,67.02,96.98,14.14,63.67,3.2,59.29
7,100,61.51,70.1,95.45,70.08,98.25,17.29,69.0,0.18,68.43
10,150,80.77,86.2,97.52,88.57,98.52,61.58,82.2,0.81,25.47
13,200,86.87,90.69,98.22,92.65,98.66,73.71,88.23,0.18,13.52
16,250,86.76,90.35,98.2,92.59,98.66,73.93,87.69,0.16,13.96
19,300,92.5,95.34,98.82,96.03,98.87,86.28,92.35,0.15,4.15
22,350,89.69,93.52,98.56,94.39,98.88,80.13,90.04,0.05,10.64
25,400,93.83,96.23,98.97,96.77,98.91,88.71,93.87,0.11,1.58
