class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.989554	0.996765	0.994749	0.982156	0.747769	0.812294	0.840464	3924	9
cotton	0.914416	0.964269	0.955295						
abuth	0.800899	0.913406	0.889444						
canger	0.678927	0.856484	0.808763						
machixian	0.834728	0.877938	0.909920						
longkui	0.690595	0.732720	0.816985						
tianxuanhua	0.329456	0.338939	0.495625						
niujincao	0.743574	0.817836	0.852931						
background	0.989821	0.996242	0.994885	0.974978	0.655883	0.751381	0.767820	4142	10
cotton	0.859511	0.973094	0.924448						
abuth	0.681054	0.863097	0.810270						
canger	0.553884	0.703893	0.712902						
machixian	0.846672	0.907947	0.916971						
longkui	0.274013	0.275274	0.430158						
tianxuanhua	0.398028	0.409639	0.569413						
niujincao	0.644081	0.881862	0.783515						
background	0.989522	0.996311	0.994733	0.982481	0.758956	0.833484	0.854426	4360	10
cotton	0.918810	0.963167	0.957687						
abuth	0.773733	0.939376	0.872434						
canger	0.670995	0.777240	0.803108						
machixian	0.840569	0.922829	0.913380						
longkui	0.702085	0.711878	0.824971						
tianxuanhua	0.478784	0.503478	0.647537						
niujincao	0.697151	0.853591	0.821554						
background	0.990242	0.995639	0.995097	0.981773	0.750742	0.828016	0.847899	4578	11
cotton	0.901230	0.972058	0.948049						
abuth	0.813694	0.935218	0.897278						
canger	0.674798	0.860657	0.805826						
machixian	0.828471	0.905602	0.906190						
longkui	0.539478	0.542948	0.700858						
tianxuanhua	0.503648	0.529144	0.669902						
niujincao	0.754376	0.882863	0.859994						
background	0.989785	0.997024	0.994866	0.981406	0.742189	0.806744	0.837477	4796	11
cotton	0.891651	0.967041	0.942722						
abuth	0.804961	0.898894	0.891943						
canger	0.707537	0.882371	0.828722						
machixian	0.843238	0.888874	0.914953						
longkui	0.577734	0.580954	0.732359						
tianxuanhua	0.358914	0.369489	0.528236						
niujincao	0.763694	0.869304	0.866017						
background	0.989590	0.997055	0.994768	0.980934	0.725889	0.797650	0.823728	5014	12
cotton	0.933158	0.966530	0.965423						
abuth	0.769002	0.896165	0.869419						
canger	0.587694	0.817203	0.740312						
machixian	0.761845	0.802943	0.864827						
longkui	0.699346	0.731814	0.823077						
tianxuanhua	0.304950	0.310296	0.467374						
niujincao	0.761530	0.859193	0.864623						
background	0.988943	0.997288	0.994441	0.984783	0.800636	0.855558	0.880808	5232	12
cotton	0.933044	0.945593	0.965363						
abuth	0.811751	0.915734	0.896096						
canger	0.694165	0.822727	0.819478						
machixian	0.849148	0.925015	0.918421						
longkui	0.892467	0.940865	0.943178						
tianxuanhua	0.480261	0.504396	0.648887						
niujincao	0.755309	0.792842	0.860600						
background	0.989716	0.996682	0.994831	0.983692	0.764665	0.839871	0.855767	5450	13
cotton	0.938132	0.966794	0.968078						
abuth	0.815934	0.886668	0.898638						
canger	0.683339	0.902157	0.811885						
machixian	0.831959	0.907812	0.908273						
longkui	0.738101	0.760138	0.849319						
tianxuanhua	0.419780	0.431979	0.591331						
niujincao	0.700362	0.866737	0.823780						
background	0.988834	0.997153	0.994386	0.981202	0.753767	0.824694	0.851788	5668	13
cotton	0.900947	0.952111	0.947893						
abuth	0.764964	0.872416	0.866832						
canger	0.657859	0.817219	0.793625						
machixian	0.843471	0.905852	0.915090						
longkui	0.645667	0.650950	0.784687						
tianxuanhua	0.510873	0.538576	0.676262						
niujincao	0.717522	0.863276	0.835532						
background	0.989426	0.997298	0.994685	0.985177	0.794274	0.851818	0.875978	5886	14
cotton	0.945362	0.962029	0.971914						
abuth	0.802305	0.920196	0.890310						
canger	0.706077	0.821321	0.827720						
machixian	0.836219	0.884683	0.910805						
longkui	0.880906	0.916213	0.936683						
tianxuanhua	0.456528	0.468085	0.626871						
niujincao	0.737367	0.844720	0.848833						
background	0.989457	0.997382	0.994701	0.984548	0.777779	0.842513	0.863193	6104	14
cotton	0.936668	0.951432	0.967298						
abuth	0.824961	0.949106	0.904086						
canger	0.696599	0.791839	0.821171						
machixian	0.843166	0.926659	0.914911						
longkui	0.828629	0.912981	0.906284						
tianxuanhua	0.400695	0.409115	0.572138						
niujincao	0.702058	0.801585	0.824952						
background	0.989761	0.996836	0.994854	0.983675	0.762751	0.843157	0.851949	6322	15
cotton	0.936900	0.952129	0.967422						
abuth	0.786801	0.943668	0.880681						
canger	0.656183	0.750484	0.792404						
machixian	0.838302	0.923912	0.912040						
longkui	0.842132	0.936890	0.914302						
tianxuanhua	0.378186	0.385092	0.548817						
niujincao	0.673742	0.856248	0.805073						
background	0.989759	0.996977	0.994853	0.985692	0.791826	0.858538	0.872653	6540	15
cotton	0.933219	0.956075	0.965456						
abuth	0.838433	0.948590	0.912117						
canger	0.789063	0.886024	0.882096						
machixian	0.836857	0.923337	0.911183						
longkui	0.870173	0.881860	0.930580						
tianxuanhua	0.421204	0.430018	0.592743						
niujincao	0.655897	0.845422	0.792196						
background	0.990268	0.996870	0.995110	0.986546	0.806524	0.867526	0.882633	6758	16
cotton	0.943482	0.963576	0.970919						
abuth	0.831492	0.924585	0.907994						
canger	0.772306	0.890538	0.871527						
machixian	0.841867	0.926977	0.914145						
longkui	0.924536	0.946215	0.960789						
tianxuanhua	0.440951	0.456729	0.612028						
niujincao	0.707288	0.834719	0.828552						
background	0.990233	0.997319	0.995092	0.984623	0.781763	0.846357	0.865724	6976	16
cotton	0.945927	0.962331	0.972212						
abuth	0.751750	0.939320	0.858285						
canger	0.660742	0.726261	0.795719						
machixian	0.852051	0.916894	0.920116						
longkui	0.921926	0.939838	0.959377						
tianxuanhua	0.426698	0.438205	0.598162						
niujincao	0.704776	0.850689	0.826825						
background	0.990008	0.996951	0.994979	0.985372	0.776788	0.850139	0.858841	7194	17
cotton	0.951429	0.969226	0.975110						
abuth	0.828647	0.892713	0.906295						
canger	0.708741	0.871698	0.829547						
machixian	0.840763	0.899067	0.913494						
longkui	0.885303	0.962363	0.939163						
tianxuanhua	0.346968	0.352549	0.515183						
niujincao	0.662446	0.856547	0.796953						
background	0.989963	0.996463	0.994956	0.984715	0.782928	0.849808	0.862207	7412	17
cotton	0.940714	0.956360	0.969451						
abuth	0.779817	0.946597	0.876289						
canger	0.699863	0.828381	0.823435						
machixian	0.840023	0.922216	0.913057						
longkui	0.942136	0.963916	0.970206						
tianxuanhua	0.336154	0.343161	0.503167						
niujincao	0.734754	0.841372	0.847099						
background	0.990446	0.996991	0.995200	0.985989	0.802420	0.858910	0.880553	7630	18
cotton	0.941550	0.961350	0.969895						
abuth	0.818186	0.946969	0.900003						
canger	0.731885	0.861848	0.845189						
machixian	0.842333	0.900180	0.914420						
longkui	0.903204	0.916702	0.949140						
tianxuanhua	0.443813	0.458154	0.614779						
niujincao	0.747943	0.829087	0.855798						
background	0.990705	0.996386	0.995331	0.985117	0.787932	0.853642	0.868406	7848	18
cotton	0.939660	0.966717	0.968891						
abuth	0.796999	0.933270	0.887033						
canger	0.697314	0.830539	0.821667						
machixian	0.839323	0.937281	0.912644						
longkui	0.886969	0.927422	0.940099						
tianxuanhua	0.378118	0.389083	0.548746						
niujincao	0.774371	0.848441	0.872840						
