Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 19, Itrs 1210/10000, Loss=0.101562
Epoch 20, Itrs 1220/10000, Loss=0.085709
Epoch 20, Itrs 1230/10000, Loss=0.215510
Epoch 20, Itrs 1240/10000, Loss=0.129068
Epoch 20, Itrs 1250/10000, Loss=0.108120
Epoch 20, Itrs 1260/10000, Loss=0.179719
Epoch 20, Itrs 1270/10000, Loss=0.236392
Epoch 20, Itrs 1280/10000, Loss=0.098028
Epoch 21, Itrs 1290/10000, Loss=0.154152
Epoch 21, Itrs 1300/10000, Loss=0.118534
Epoch 21, Itrs 1310/10000, Loss=0.133043
Epoch 21, Itrs 1320/10000, Loss=0.086999
Epoch 21, Itrs 1330/10000, Loss=0.076293
Epoch 21, Itrs 1340/10000, Loss=0.329757
Epoch 22, Itrs 1350/10000, Loss=0.135956
Epoch 22, Itrs 1360/10000, Loss=0.198952
Epoch 22, Itrs 1370/10000, Loss=0.139374
Epoch 22, Itrs 1380/10000, Loss=0.141809
Epoch 22, Itrs 1390/10000, Loss=0.114123
Epoch 22, Itrs 1400/10000, Loss=0.087493
Epoch 23, Itrs 1410/10000, Loss=0.119959
Epoch 23, Itrs 1420/10000, Loss=0.165398
Epoch 23, Itrs 1430/10000, Loss=0.203882
Epoch 23, Itrs 1440/10000, Loss=0.111696
Epoch 23, Itrs 1450/10000, Loss=0.106266
Epoch 23, Itrs 1460/10000, Loss=0.144961
Epoch 23, Itrs 1470/10000, Loss=0.120468
Epoch 24, Itrs 1480/10000, Loss=0.344697
Epoch 24, Itrs 1490/10000, Loss=0.195874
Epoch 24, Itrs 1500/10000, Loss=0.091286
Epoch 24, Itrs 1510/10000, Loss=0.148257
Epoch 24, Itrs 1520/10000, Loss=0.079596
Epoch 24, Itrs 1530/10000, Loss=0.161710
Epoch 25, Itrs 1540/10000, Loss=0.128300
Epoch 25, Itrs 1550/10000, Loss=0.114111
Epoch 25, Itrs 1560/10000, Loss=0.159847
Epoch 25, Itrs 1570/10000, Loss=0.094959
Epoch 25, Itrs 1580/10000, Loss=0.083582
Epoch 25, Itrs 1590/10000, Loss=0.342846
Epoch 25, Itrs 1600/10000, Loss=0.164795
Epoch 26, Itrs 1610/10000, Loss=0.068396
Epoch 26, Itrs 1620/10000, Loss=0.169288
Epoch 26, Itrs 1630/10000, Loss=0.166654
Epoch 26, Itrs 1640/10000, Loss=0.140493
Epoch 26, Itrs 1650/10000, Loss=0.216484
Epoch 26, Itrs 1660/10000, Loss=0.113598
Epoch 27, Itrs 1670/10000, Loss=0.126099
Epoch 27, Itrs 1680/10000, Loss=0.149247
Epoch 27, Itrs 1690/10000, Loss=0.092726
Epoch 27, Itrs 1700/10000, Loss=0.087425
Epoch 27, Itrs 1710/10000, Loss=0.085819
Epoch 27, Itrs 1720/10000, Loss=0.084350
Epoch 28, Itrs 1730/10000, Loss=0.090402
Epoch 28, Itrs 1740/10000, Loss=0.200481
Epoch 28, Itrs 1750/10000, Loss=0.093790
Epoch 28, Itrs 1760/10000, Loss=0.078268
Epoch 28, Itrs 1770/10000, Loss=0.100811
Epoch 28, Itrs 1780/10000, Loss=0.153683
Epoch 28, Itrs 1790/10000, Loss=0.110155
Epoch 29, Itrs 1800/10000, Loss=0.110199
Epoch 29, Itrs 1810/10000, Loss=0.209906
Epoch 29, Itrs 1820/10000, Loss=0.098445
Epoch 29, Itrs 1830/10000, Loss=0.081443
Epoch 29, Itrs 1840/10000, Loss=0.078486
Epoch 29, Itrs 1850/10000, Loss=0.080247
Epoch 30, Itrs 1860/10000, Loss=0.060852
Epoch 30, Itrs 1870/10000, Loss=0.066396
Epoch 30, Itrs 1880/10000, Loss=0.282275
Epoch 30, Itrs 1890/10000, Loss=0.111697
Epoch 30, Itrs 1900/10000, Loss=0.088912
Epoch 30, Itrs 1910/10000, Loss=0.082712
Epoch 30, Itrs 1920/10000, Loss=0.121362
Epoch 31, Itrs 1930/10000, Loss=0.122825
Epoch 31, Itrs 1940/10000, Loss=0.166042
Epoch 31, Itrs 1950/10000, Loss=0.105693
Epoch 31, Itrs 1960/10000, Loss=0.085216
Epoch 31, Itrs 1970/10000, Loss=0.079750
Epoch 31, Itrs 1980/10000, Loss=0.087695
Epoch 32, Itrs 1990/10000, Loss=0.062286
Epoch 32, Itrs 2000/10000, Loss=0.324483
Epoch 32, Itrs 2010/10000, Loss=0.096312
Epoch 32, Itrs 2020/10000, Loss=0.127999
Epoch 32, Itrs 2030/10000, Loss=0.083809
Epoch 32, Itrs 2040/10000, Loss=0.098609
Epoch 33, Itrs 2050/10000, Loss=0.055347
Epoch 33, Itrs 2060/10000, Loss=0.080935
Epoch 33, Itrs 2070/10000, Loss=0.077352
Epoch 33, Itrs 2080/10000, Loss=0.105678
Epoch 33, Itrs 2090/10000, Loss=0.240039
Epoch 33, Itrs 2100/10000, Loss=0.208279
Epoch 33, Itrs 2110/10000, Loss=0.108432
Epoch 34, Itrs 2120/10000, Loss=0.143896
Epoch 34, Itrs 2130/10000, Loss=0.114418
Epoch 34, Itrs 2140/10000, Loss=0.148394
Epoch 34, Itrs 2150/10000, Loss=0.135940
Epoch 34, Itrs 2160/10000, Loss=0.100776
Epoch 34, Itrs 2170/10000, Loss=0.131030
Epoch 35, Itrs 2180/10000, Loss=0.166691
Epoch 35, Itrs 2190/10000, Loss=0.086083
Epoch 35, Itrs 2200/10000, Loss=0.106007
Epoch 35, Itrs 2210/10000, Loss=0.093969
Epoch 35, Itrs 2220/10000, Loss=0.059881
Epoch 35, Itrs 2230/10000, Loss=0.075898
Epoch 35, Itrs 2240/10000, Loss=0.135942
Epoch 36, Itrs 2250/10000, Loss=0.047543
Epoch 36, Itrs 2260/10000, Loss=0.099958
Epoch 36, Itrs 2270/10000, Loss=0.109319
Epoch 36, Itrs 2280/10000, Loss=0.056759
Epoch 36, Itrs 2290/10000, Loss=0.062042
Epoch 36, Itrs 2300/10000, Loss=0.065805
