epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,51.51,57.49,92.11,60.99,93.77,10.87,49.9,5.44,38.21
7,100,64.65,72.46,94.45,75.98,96.38,38.11,59.46,16.53,17.79
10,150,74.52,81.08,96.36,84.04,97.61,51.38,74.58,8.85,16.0
13,200,75.78,80.65,96.63,84.85,97.42,51.34,78.58,0.63,23.64
16,250,85.34,91.06,97.95,91.73,98.58,72.28,85.17,3.04,12.17
19,300,85.29,90.52,98.05,91.66,98.75,71.3,85.82,1.54,16.58
22,350,86.54,90.69,98.18,92.47,98.71,73.87,87.06,0.52,14.76
25,400,90.26,93.29,98.61,94.72,98.79,80.72,91.27,0.39,7.01
