epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
7,100,73.98,80.4,96.61,83.37,98.1,47.79,76.06,2.8,33.41
13,200,83.0,87.05,97.73,90.08,98.31,65.09,85.59,0.84,16.28
19,300,88.03,92.55,98.33,93.4,98.75,76.94,88.41,0.14,12.99
25,400,92.21,95.34,98.78,95.86,98.81,85.36,92.47,0.49,3.27
32,500,91.8,94.7,98.75,95.63,98.83,84.34,92.23,0.34,4.49
38,600,92.4,95.35,98.83,95.97,98.88,85.64,92.67,0.29,3.99
44,700,91.91,94.87,98.77,95.69,98.86,84.71,92.16,0.03,5.4
50,800,92.33,95.45,98.81,95.93,98.88,85.68,92.43,0.09,4.65
