class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
abuth	0.806862	0.966903	0.893108						
cotton	0.755550	0.819551	0.860756						
background	0.986409	0.993842	0.993158	0.984182	0.896881	0.932937	0.944266	4000	32
abuth	0.884675	0.960419	0.938809						
cotton	0.819557	0.844550	0.900832						
background	0.987526	0.994341	0.993724	0.985335	0.902366	0.940929	0.947363	4100	33
abuth	0.896746	0.954192	0.945562						
cotton	0.822826	0.874253	0.902802						
background	0.984649	0.990978	0.992265	0.980607	0.873982	0.923158	0.930718	4200	33
abuth	0.850531	0.961560	0.919229						
cotton	0.786765	0.816936	0.880659						
background	0.973201	0.980030	0.986419	0.960391	0.738896	0.833054	0.836045	4300	34
abuth	0.733649	0.973752	0.846364						
cotton	0.509837	0.545379	0.675353						
background	0.975473	0.980611	0.987584	0.971267	0.832910	0.911055	0.905387	4400	35
abuth	0.794650	0.976625	0.885576						
cotton	0.728607	0.775927	0.842999						
background	0.969062	0.973900	0.984288	0.969399	0.857450	0.940783	0.921186	4500	36
abuth	0.773673	0.970949	0.872397						
cotton	0.829616	0.877499	0.906874						
background	0.973977	0.976833	0.986817	0.976632	0.886893	0.972235	0.938935	4600	36
abuth	0.852317	0.985015	0.920271						
cotton	0.834387	0.954858	0.909717						
background	0.981647	0.985720	0.990739	0.970412	0.792103	0.872364	0.875912	4700	37
abuth	0.785393	0.977597	0.879799						
cotton	0.609268	0.653774	0.757199						
background	0.969356	0.972729	0.984439	0.968615	0.850715	0.937869	0.917051	4800	38
abuth	0.767756	0.982273	0.868622						
cotton	0.815032	0.858605	0.898091						
background	0.984400	0.988204	0.992138	0.976321	0.835393	0.901025	0.906043	4900	39
abuth	0.818478	0.979734	0.900179						
cotton	0.703302	0.735136	0.825810						
background	0.986004	0.994991	0.992953	0.979282	0.849247	0.894431	0.914752	5000	40
abuth	0.841424	0.944643	0.913884						
cotton	0.720312	0.743660	0.837420						
background	0.984635	0.989628	0.992258	0.978755	0.856878	0.915178	0.920012	5100	40
abuth	0.836669	0.967713	0.911072						
cotton	0.749330	0.788192	0.856705						
background	0.972738	0.976139	0.986181	0.970647	0.848742	0.931315	0.915821	5200	41
abuth	0.783086	0.984308	0.878349						
cotton	0.790401	0.833498	0.882932						
background	0.981926	0.991374	0.990881	0.975617	0.829932	0.891029	0.901727	5300	42
abuth	0.836898	0.939495	0.911208						
cotton	0.670971	0.742217	0.803091						
background	0.977038	0.980258	0.988385	0.974636	0.858255	0.939310	0.921496	5400	43
abuth	0.818757	0.975459	0.900348						
cotton	0.778970	0.862213	0.875754						
background	0.983690	0.988200	0.991778	0.973414	0.824264	0.927277	0.899206	5500	43
abuth	0.786194	0.850949	0.880301						
cotton	0.702907	0.942681	0.825538						
background	0.913969	0.916096	0.955051	0.921082	0.745304	0.925952	0.846234	5600	44
abuth	0.564681	0.990855	0.721784						
cotton	0.757262	0.870904	0.861866						
background	0.969830	0.973205	0.984684	0.968598	0.843222	0.936740	0.912460	5700	45
abuth	0.776020	0.977041	0.873887						
cotton	0.783817	0.859973	0.878809						
background	0.981135	0.984932	0.990477	0.981213	0.889008	0.959728	0.939397	5800	46
abuth	0.896675	0.976741	0.945523						
cotton	0.789215	0.917513	0.882191						
background	0.982839	0.987491	0.991345	0.943331	0.647521	0.822991	0.762576	5900	47
abuth	0.503016	0.531051	0.669342						
cotton	0.456707	0.950430	0.627040						
background	0.987233	0.997129	0.993576	0.983300	0.877109	0.915001	0.931653	6000	47
abuth	0.892442	0.935758	0.943164						
cotton	0.751651	0.812115	0.858220						
