class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.990522	0.995596	0.995238	0.983178	0.719656	0.807658	0.798000	3600	16
cotton	0.960316	0.976886	0.979756						
abuth	0.795069	0.953362	0.885837						
canger	0.654121	0.811962	0.790899						
machixian	0.783345	0.924392	0.878512						
longkui	0.826567	0.971849	0.905050						
tianxuanhua	0.080100	0.080860	0.148320						
niujincao	0.667207	0.746352	0.800389						
background	0.989079	0.996486	0.994510	0.983432	0.747623	0.812297	0.832393	3800	16
cotton	0.954329	0.979202	0.976631						
abuth	0.776450	0.847995	0.874159						
canger	0.687725	0.903509	0.814973						
machixian	0.798893	0.895743	0.888205						
longkui	0.860441	0.920000	0.924986						
tianxuanhua	0.228859	0.235886	0.372474						
niujincao	0.685207	0.719554	0.813202						
background	0.990749	0.996223	0.995353	0.985644	0.758293	0.835912	0.845645	4000	17
cotton	0.958429	0.972931	0.978773						
abuth	0.889678	0.942463	0.941619						
canger	0.722380	0.941993	0.838816						
machixian	0.780378	0.932262	0.876643						
longkui	0.828015	0.857621	0.905917						
tianxuanhua	0.360437	0.377736	0.529885						
niujincao	0.536277	0.666066	0.698151						
background	0.990192	0.997043	0.995072	0.984740	0.765718	0.839341	0.852956	4200	18
cotton	0.943584	0.970101	0.970973						
abuth	0.839880	0.883685	0.912973						
canger	0.730241	0.944589	0.844092						
machixian	0.825604	0.882720	0.904472						
longkui	0.789748	0.819900	0.882524						
tianxuanhua	0.356635	0.377568	0.525764						
niujincao	0.649859	0.839122	0.787776						
background	0.990268	0.996549	0.995110	0.982799	0.742910	0.811467	0.837366	4400	19
cotton	0.933806	0.975745	0.965770						
abuth	0.800334	0.866031	0.889095						
canger	0.666056	0.941457	0.799560						
machixian	0.802590	0.863217	0.890485						
longkui	0.728311	0.745176	0.842801						
tianxuanhua	0.334590	0.345228	0.501412						
niujincao	0.687329	0.758336	0.814694						
background	0.990062	0.996013	0.995006	0.984544	0.750348	0.815945	0.842618	4600	20
cotton	0.938915	0.976428	0.968495						
abuth	0.846656	0.910241	0.916961						
canger	0.744390	0.892216	0.853468						
