class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.987569	0.995379	0.993746	0.988113	0.926227	0.950231	0.960922	1920	30
abuth	0.931976	0.968461	0.964791						
cotton	0.859135	0.886854	0.924231						
