epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,61.22,70.32,95.2,69.89,97.92,17.27,68.47,1.05,65.68
7,100,73.82,80.94,95.75,83.95,96.7,58.81,65.95,12.05,4.36
10,150,86.2,92.19,97.85,92.31,98.2,75.16,85.23,3.6,5.62
13,200,88.45,92.4,98.29,93.65,98.51,77.7,89.14,1.2,6.78
16,250,91.73,94.86,98.76,95.59,98.87,84.15,92.18,0.51,4.74
19,300,88.61,91.95,98.42,93.73,98.74,77.56,89.53,0.2,10.59
22,350,91.05,94.36,98.69,95.19,98.85,82.7,91.6,0.4,6.25
25,400,91.38,94.58,98.74,95.38,98.88,83.29,91.98,0.71,5.16
